product_id,name,price,quantity,description,production_date,expiration_date,rating,status
1,Пакеты для Дня влюбленных,9721.0,865,Подходит для использования в качестве основы для смузи и коктейлей.,2017-07-03,2024-03-03,2.03,Backorder
2,Блины с мясом,9577.0,665,Способствует нормализации обмена веществ в организме.,2018-02-02,2021-02-02,1.68,Cancelled
3,Тыквенные семечки,1486.0,645,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2012-04-16,2022-08-16,1.32,Awaiting Review
4,Йогурт,9351.0,458,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2018-02-05,2028-01-21,3.88,Out of Stock
5,Гауда,5256.0,646,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2014-05-03,2021-12-01,3.71,Returned
8,Батат,7819.0,852,Придает блюдам особую нежность и насыщенность.,2008-07-09,2018-04-02,0.49,Out of Stock
9,Спрайт,2451.0,535,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2017-03-04,2027-01-14,3.91,Shipping
10,Лардон,3960.0,683,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2003-03-18,2030-06-13,4.67,In Stock
12,Ряженка,4436.0,424,"Подходит для приготовления как горячих, так и холодных блюд.",2001-03-01,2028-01-15,4.57,In Stock
14,Карачинская,8284.0,753,Отличается хорошей совместимостью с другими продуктами питания.,2007-01-02,2015-04-04,1.2,Awaiting Payment
16,Пакеты для микроволновки,501.0,429,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1991-09-02,2014-04-28,1.59,Returned
17,Пирожки с мясом,8010.0,437,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1998-02-01,2028-07-19,0.3,Shipping
19,Папайя,3335.0,470,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2008-01-04,2009-02-24,4.29,In Stock
24,Каша из дробленной манной крупы,6046.0,944,Отличается гипоаллергенностью и безопасностью для большинства людей.,1992-01-13,2001-01-12,2.94,On Backorder
25,Каша из дробленной поленты,6832.0,627,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2004-03-01,2017-04-08,4.03,Backorder
26,Лимон,4170.0,936,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2001-01-16,2017-12-07,4.83,Refunded
27,Российский сыр,316.0,461,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",1996-03-05,2014-06-04,4.38,Temporarily Unavailable
